temp_h,temp_p,humidity,pressure,timestamp
25.4902915955,27.7749996185,54.8967628479,987.489501953,2017-07-18 20:23:58.527105
25.4902915955,27.7749996185,54.8967628479,987.489501953,2017-07-18 20:23:58.530207
25.4902915955,27.7749996185,54.8967628479,987.489501953,2017-07-18 20:23:58.533221
25.4902915955,27.7749996185,54.8967628479,987.489501953,2017-07-18 20:23:58.536223
25.4902915955,27.7749996185,54.8967628479,987.489501953,2017-07-18 20:23:58.539285
25.4902915955,27.7749996185,54.8967628479,987.489501953,2017-07-18 20:23:58.542288
25.4902915955,27.7749996185,54.8967628479,987.489501953,2017-07-18 20:23:58.545287
25.4902915955,27.7749996185,54.8967628479,987.489501953,2017-07-18 20:23:58.548289
25.4902915955,27.7749996185,54.8967628479,987.489501953,2017-07-18 20:23:58.551293
25.4902915955,27.7749996185,54.8967628479,987.489501953,2017-07-18 20:23:58.554332
25.4902915955,27.7749996185,54.8967628479,987.489501953,2017-07-18 20:23:58.557335
25.4902915955,27.7749996185,54.8967628479,987.489501953,2017-07-18 20:23:58.560347
25.4902915955,27.7749996185,54.8967628479,987.489501953,2017-07-18 20:23:58.563349
25.4902915955,27.7749996185,54.8967628479,987.489013672,2017-07-18 20:23:58.568192
25.4902915955,27.7833328247,54.8967628479,987.489013672,2017-07-18 20:23:58.571195
25.4902915955,27.7833328247,54.8967628479,987.489013672,2017-07-18 20:23:58.574196
25.4902915955,27.7833328247,54.8967628479,987.489013672,2017-07-18 20:23:58.577193
25.4902915955,27.7833328247,54.8967628479,987.489013672,2017-07-18 20:23:58.580216
25.4902915955,27.7833328247,54.8967628479,987.489013672,2017-07-18 20:23:58.583253
25.5819988251,27.7833328247,54.8967628479,987.489013672,2017-07-18 20:23:58.587146
25.5819988251,27.7833328247,52.0786399841,987.489013672,2017-07-18 20:23:58.591077
25.5819988251,27.7833328247,52.0786399841,987.489013672,2017-07-18 20:23:58.594112
25.5819988251,27.7833328247,52.0786399841,987.489013672,2017-07-18 20:23:58.597147
25.5819988251,27.7833328247,52.0786399841,987.489013672,2017-07-18 20:23:58.600183
25.5819988251,27.7833328247,52.0786399841,987.489013672,2017-07-18 20:23:58.603218
25.5819988251,27.7833328247,52.0786399841,987.487548828,2017-07-18 20:23:58.608121
25.5819988251,27.78125,52.0786399841,987.487548828,2017-07-18 20:23:58.611160
25.5819988251,27.78125,52.0786399841,987.487548828,2017-07-18 20:23:58.614196
25.5819988251,27.78125,52.0786399841,987.487548828,2017-07-18 20:23:58.617234
25.5819988251,27.78125,52.0786399841,987.487548828,2017-07-18 20:23:58.620271
25.5819988251,27.78125,52.0786399841,987.487548828,2017-07-18 20:23:58.623303
25.5819988251,27.78125,52.0786399841,987.487548828,2017-07-18 20:23:58.626338
25.5819988251,27.78125,52.0786399841,987.487548828,2017-07-18 20:23:58.629377
25.5819988251,27.78125,52.0786399841,987.487548828,2017-07-18 20:23:58.632411
25.5819988251,27.78125,52.0786399841,987.487548828,2017-07-18 20:23:58.635446
25.5819988251,27.78125,52.0786399841,987.487548828,2017-07-18 20:23:58.638481
25.5819988251,27.78125,52.0786399841,987.487548828,2017-07-18 20:23:58.641521
25.5819988251,27.78125,52.0786399841,987.487548828,2017-07-18 20:23:58.644557
25.5819988251,27.78125,52.0786399841,987.498535156,2017-07-18 20:23:58.649453
25.5819988251,27.7791671753,52.0786399841,987.498535156,2017-07-18 20:23:58.652488
